sepal.length,sepal.width,petal.length,petal.width,variety
5.1,35,1.4,0.2,1
4.9,30,1.4,0.2,1
4.7,32,1.3,0.2,1
4.6,31,1.5,0.2,1
5,36,1.4,0.2,1
5.4,39,1.7,0.4,1
4.6,34,1.4,0.3,1
5,34,1.5,0.2,1
4.4,29,1.4,0.2,1
4.9,31,1.5,0.1,1
5.4,37,1.5,0.2,1
4.8,34,1.6,0.2,1
4.8,30,1.4,0.1,1
4.3,30,1.1,0.1,1
5.8,40,1.2,0.2,1
5.7,44,1.5,0.4,1
5.4,39,1.3,0.4,1
5.1,35,1.4,0.3,1
5.7,38,1.7,0.3,1
5.1,38,1.5,0.3,1
5.4,34,1.7,0.2,1
5.1,37,1.5,0.4,1
4.6,36,1,0.2,1
5.1,33,1.7,0.5,1
4.8,34,1.9,0.2,1
5,30,1.6,0.2,1
5,34,1.6,0.4,1
5.2,35,1.5,0.2,1
5.2,34,1.4,0.2,1
4.7,32,1.6,0.2,1
4.8,31,1.6,0.2,1
5.4,34,1.5,0.4,1
5.2,41,1.5,0.1,1
5.5,42,1.4,0.2,1
4.9,31,1.5,0.2,1
5,32,1.2,0.2,1
5.5,35,1.3,0.2,1
4.9,36,1.4,0.1,1
4.4,30,1.3,0.2,1
5.1,34,1.5,0.2,1
5,35,1.3,0.3,1
4.5,23,1.3,0.3,1
4.4,32,1.3,0.2,1
5,35,1.6,0.6,1
6.7,31,4.4,1.4,0
5.6,30,4.5,1.5,0
5.8,27,4.1,1,0
6.2,22,4.5,1.5,0
5.6,25,3.9,1.1,0
5.9,32,4.8,1.8,0
6.1,28,4,1.3,0
6.3,25,4.9,1.5,0
6.1,28,4.7,1.2,0
6.4,29,4.3,1.3,0
6.6,30,4.4,1.4,0
6.8,28,4.8,1.4,0
6.7,30,5,1.7,0
6,29,4.5,1.5,0
5.7,26,3.5,1,0
5.5,24,3.8,1.1,0
5.5,24,3.7,1,0
5.8,27,3.9,1.2,0
6,27,5.1,1.6,0
5.4,30,4.5,1.5,0
6,34,4.5,1.6,0
6.7,31,4.7,1.5,0
6.3,23,4.4,1.3,0
5.6,30,4.1,1.3,0
5.5,25,4,1.3,0
5.5,26,4.4,1.2,0
6.1,30,4.6,1.4,0
5.8,26,4,1.2,0
5,23,3.3,1,0
5.6,27,4.2,1.3,0
5.7,30,4.2,1.2,0
5.7,29,4.2,1.3,0
6.2,29,4.3,1.3,0
5.1,25,3,1.1,0
5.7,28,4.1,1.3,0
6.3,33,6,2.5,0
5.8,27,5.1,1.9,0
7.1,30,5.9,2.1,0
6.3,29,5.6,1.8,0
6.5,30,5.8,2.2,0
7.6,30,6.6,2.1,0
4.9,25,4.5,1.7,0
7.3,29,6.3,1.8,0
6.7,25,5.8,1.8,0
7.2,36,6.1,2.5,0
6.5,32,5.1,2,0
6.4,27,5.3,1.9,0
6.8,30,5.5,2.1,0
5.7,25,5,2,0
5.8,28,5.1,2.4,0
6.4,32,5.3,2.3,0
6.5,30,5.5,1.8,0
7.7,38,6.7,2.2,0
7.7,26,6.9,2.3,0
6,22,5,1.5,0
6.9,32,5.7,2.3,0
5.6,28,4.9,2,0
7.7,28,6.7,2,0
6.3,27,4.9,1.8,0
6.7,33,5.7,2.1,0
7.2,32,6,1.8,0
6.2,28,4.8,1.8,0
6.1,30,4.9,1.8,0
6.4,28,5.6,2.1,0
7.2,30,5.8,1.6,0
7.4,28,6.1,1.9,0
7.9,38,6.4,2,0
6.4,28,5.6,2.2,0
6.3,28,5.1,1.5,0
6.1,26,5.6,1.4,0
7.7,30,6.1,2.3,0
6.3,34,5.6,2.4,0
6.4,31,5.5,1.8,0
6,30,4.8,1.8,0
6.9,31,5.4,2.1,0
6.7,31,5.6,2.4,0
6.9,31,5.1,2.3,0
5.8,27,5.1,1.9,0
6.8,32,5.9,2.3,0
6.7,33,5.7,2.5,0
6.7,30,5.2,2.3,0
6.3,25,5,1.9,0
6.5,30,5.2,2,0
6.2,34,5.4,2.3,0
5.9,30,5.1,1.8,0
